appID,appName,ubCode,AppDesc,IsMobi
1,App Test 1,App Test 1,Ứng dụng 1,0
2,ZaloCredits,ZaloCredits,ZaloCredits,1
3,MobileSDK,MobileSDK,MobileSDK,1
4,TBMT,TBMT,Thẻ Bài Ma Thuật,1
5,EFPL,EFPL,Efun Platform,1
6,game,game,365App,1
7,Ulabs_VuiBanCa,Ulabs_VuiBanCa,Vui Bắn Cá,1
8,TBMT Platform,TBMT Platform,Thẻ Bài Ma Thuật Platform,0
9,ThoiLoanM,ThoiLoanM,Thời Loạn Mobile,1
10,FARMPRO2,FARMPRO2,Nông trại Pro 2,0
11,AHCH,AHCH,Anh Hùng Chiến Hồn (JB),1
12,VLLK,VLLK,Võ Lâm Luận Kiếm,1
13,Gunny Mobi,Gunny Mobi,Gunny Mobile,1
14,DTTK,DTTK,Dota Truyền Kỳ,1
15,DPTQ,DPTQ,Đại Phá Tam Quốc,1
16,ZaloPayTelco,ZaloPayTelco,ZaloPay,1
17,ZaloPaySMS,ZaloPaySMS,ZaloPay,1
18,TamQuocXungHung,TamQuocXungHung,Tam Quốc Xưng Hùng,1
19,Zuni,Zuni,Zuni,0
20,FH,FH,Fish Hunt,1
21,FARM,FARM,Farmery Mobile,1
22,MPCOTUONG,MPCOTUONG,MyPlay Cờ Tướng,1
23,MPCARO,MPCARO,MyPlay Caro,1
24,MPTALA,MPTALA,MyPlay Tá Lả,1
25,MPBINH,MPBINH,MyPlay Binh,1
26,MPTIENLEN,MPTIENLEN,MyPlay Tiến Lên,1
27,MPXITO,MPXITO,MyPlay Xì Tố,1
28,MPPOKER,MPPOKER,MyPlay Poker,1
29,THOILOAN,THOILOAN,Thời Loạn,0
30,SGMB,SGMB,Khu Vườn Trên Mây Mobile,1
31,LM,LM,Liên Minh Anh Hùng,1
33,FARMZPP,FARMZPP,Farmery ZingPlay Portal,1
34,ZINZIN,ZINZIN,Zinzin,1
35,FARMWEB,FARMWEB,Farmery Web,0
36,MPBIDA,MPBIDA,MyPlay Bida,1
37,MPBIDACARD,MPBIDACARD,MyPlay Bida Card,1
38,ZB,ZB,Giải Cứu Thế Giới,0
39,VLCB,VLCB,Tiểu Võ Lâm,0
40,VLMB,VLHT,Võ Lâm Huyền Thoại,1
41,MPBACAY,MPBACAY,MyPlay Ba Cây,1
42,CANDYRUN,CANDYRUN,Candy Run,1
43,CUUTOC,CUUTOC,Cửu Tộc,1
44,ICA,ICA,iCá,1
45,ZingCredits,ZingCredits,ZingCredits,0
46,ThanTuong,ThanTuong,Thần Tướng,1
47,CG_ZingCredits,CG_ZingCredits,CG_ZingCredits,0
48,TimXeKhach,TimXeKhach,Tìm Xe Khách,1
49,ZaloPayZingXu,ZaloPay ZingXu,ZaloPay ZingXu,1
50,KS3D_HAILOCDAUXUAN,KS3D_HAILOCDAUXUAN,Hái Lộc Đầu Xuân,0
51,ccTalk,ccTalk,ccTalk,0
52,BanCaTruyenKi,BanCaTruyenKi,Bắn Cá Truyền Kì,1
