ProductID,ProductCode,ProductName,ItemID
1,JX1,Vo Lam,1011
2,D9,Cuu Long,1002
3,FS,Phong Than,1003
5,BNB,Boom,1001
12,Payment,Payment,1039
12,Payment,Payment,1169
14,JX2,Vo Lam 2,1013
31,ZP,ZingPlay,1008
34,ZT,Chinh Do,1009
37,JX1F,Vo Lam Free,1012
48,JXW,Vo Lam Web,1015
49,ZG,Gunny,1014
50,ZS,ZingSpeed,1016
57,WJX,Kiem The,1017
58,ZM,Zing Me - FFS,1019
61,HH,Happy Farm,1020
62,FG,Fish Garden,1023
63,BOI,Kiem Tien,1042
65,WOF,Tinh Vo,1041
71,ZFarm,Zing Farm,1047
72,ZDeal,Zing Deal,1049
73,KVTM,KVTM,1050
75,ZFish,Zing Fish,1051
75,ZFish,Zing Fish,1056
77,JXV,Vo Lam Di Ban,1053
78,ZingCredit,Zing Credit,1054
83,MYCARO,My Caro,1060
84,UNIN,Un In,1059
86,MLVN,MOLYVN,1065
87,MPGSN-TALA,GSN TALA,1058
87,MPGSN-TALA,GSN TALA,1061
88,MPGSN-TLEN,TIEN LEN,1062
90,NKVN,VoLamChiMong,1063
91,MPGSN-XiTo,XI TO,1064
92,VNIF,VNIF,1066
94,TOP,AniWorld,1074
95,MPGSN-PKUS,Poker US,1068
96,MPGSN-B9BI,Bida 9 Bi,1069
100,JX3,Vo Lam 3,1103
102,HBTH,HBTH,1075
102,HBTH,HBTH,1114
103,NLVN,Ngoa Long,1072
104,SVFB,HangRong,1073
107,ZT2,ChinhDoMienPhi,1077
109,LTVN,LongTuong,1078
110,MCiGSN,Cam Gioi,1081
113,CZGSS,Dao Rong,1098
115,VLNB,Vo Lam Ngu Ba,1085
116,X11GSS,X11,1084
117,BVVN,Loan The Truyen Ky,1097
118,PKVN,Phuc Khoi,1090
119,NLFB,Ngoa Long Facebook,1083
120,WTVN,Than Khuc,1091
121,PNTC2,Tien Lo,1092
122,MPGSN-BXX,Binh,1087
124,MPGSN-BICA,MPGSN-BICA,1088
125,MPGSN-COTU,Co Tuong,1089
129,MSG,Mong Tam Quoc,1099
131,TTVN,Tien The,1100
132,XuongCQ,Xuong CQ,1096
134,DTQ,Dai Tuong Quan,1101
136,DPH,Dong Phuong Hiep,1102
141,TMN,Ai My Nhan,1105
